function_code,function_name_en,function_name_sk,description_en,detection_markers,theological_weight,example
CONFESSIONAL,Confessional,Vyznávacia,"Directly states doctrinal content; the hymn functions as a sung creed or doctrinal affirmation","Credal formulae; 'verím/věřím'; doctrinal assertions in indicative mood; articles of faith",1.0,"'Toto jest tělo mé' — direct Eucharistic confession"
DOXOLOGICAL,Doxological,Doxologická,"Praises God in terms that carry implicit theological claims; theology embedded in worship language","Praise formulae; 'chválme/chvalme'; 'Sláva/Sláwa'; 'Haleluja'; direct address to God/Christ/Spirit; vocative",0.8,"'O Beránku Boží' — Lamb of God address implies sacrificial/soteriological theology"
CATECHETICAL,Catechetical,Katechetická,"Teaches doctrine to the congregation; didactic intent; may use question-answer or expository structure","Imperative + doctrinal content; 'uč se/naučte se'; question-answer structure; numbered articles; explanatory 'neb/nebo/neboť'",0.9,"Hymns with embedded catechetical instruction on sacraments or commandments"
PENITENTIAL,Penitential,Kajúcna,"Expresses contrition, confession, plea for forgiveness, or absolution; soteriological self-examination","'Smiluj se'; 'hříchy/hriechy'; 'odpusť/odpust'; 'pokání/pokánie'; confession formulae; Lenten context",0.7,"Communion preparation hymns; Lenten penitential songs"
POLEMICAL,Polemical,Polemická,"Argues against opposing theological positions; anti-papal, anti-'Sacramentarian', anti-Anabaptist, or inter-confessional critique","'Proti/contra'; negation of opposing positions; 'falešní/falošní'; 'bludaři'; naming of opponents; rhetorical questions attacking other views",0.9,"Anti-papal hymns; defences of specific Eucharistic positions against 'Sacramentarians'"
NARRATIVE,Narrative,Naratívna,"Retells biblical or salvation-historical events; the theology is carried by the story rather than by direct assertion","Past tense narration; biblical characters named; sequential events; 'stalo se/když'; Christmas/Easter/Pentecost narratives",0.5,"Christmas hymns retelling the nativity; Easter hymns narrating resurrection"
DEVOTIONAL,Devotional,Devočná,"Personal piety without strong doctrinal specificity; spiritual aspiration, trust, comfort","First person singular; 'duše má/moja'; 'útěcha/útecha'; 'naděje/nádej'; general spiritual aspiration without confessionally distinctive claims",0.3,"General spiritual songs expressing trust in God without confessionally specific content"
ESCHATOLOGICAL,Eschatological,Eschatologická,"Expresses hope of eternal life, anticipation of judgment, longing for the coming kingdom","'Věčný/večný'; 'soud/súd'; 'vzkříšení/vzkriesenie'; 'království/kráľovstvo'; 'příchod/príchod'; Advent and funeral contexts",0.6,"Advent hymns; funeral hymns; hymns anticipating the Last Judgment"
LITURGICAL_PROPER,Liturgical Proper,Liturgická vlastná,"Tied to a specific moment in the liturgical action (Introit, Gradual, Offertory, Communion, etc.); function defined by position in ordo","Rubrical placement; 'při/pri' + liturgical action; 'k přijímání/k prijímaniu'; fixed position in liturgical order",0.7,"Communion hymns sung during distribution; Introit hymns"
INTERCESSORY,Intercessory,Prímluvná,"Petitions God on behalf of the community; carries ecclesiological and soteriological assumptions in its prayer logic","'Prosíme/prosíme'; 'dej/daj'; 'zachovej/zachovaj'; collective 'nás/nám'; petition formulae",0.5,"Litanies; prayers for the church; prayers for rulers"
